model,route,stream,status,firstByteMs,firstSseMs,firstContentMs,totalMs,requestId,creditsCharged,errorCode,billingStatus
gpt-5.4-pro,POST /v1/responses,true,200,1261,1261,3674,3882,9aee11d0167f42602a70df0952c1acca,,,
gpt-5.4-pro,POST /v1/chat/completions,false,200,3406,,3406,3406,7cf4a7ff0d0d29395f3b8b18497e8967,0.006511,,
gpt-5.4-pro,POST /v1/responses,false,200,8635,,8635,8635,77d8103b1682e5a270a832b2cea31010,0.006511,,
gpt-5.4-pro,POST /v1/chat/completions,true,200,1345,1345,4326,4327,d848d209dec9c74f185a1a6c8f4d141e,,,
gpt-5.4-pro,POST /v1/responses,true,200,1071,1071,3549,3549,441e4c5170c8a5cd6e4a956eea860e36,,,
gpt-5.4-pro,POST /v1/chat/completions,false,200,14285,,14285,14285,5793610a435d637eaf150da2c1137a80,0.006511,,
gpt-5.4-pro,POST /v1/responses,false,200,4322,,4323,4323,302986737fd127cfad5fdebda16612d8,0.006511,,
gpt-5.4-pro,POST /v1/chat/completions,true,200,1041,1041,3461,3462,5379896d6ea80e6f56849281736f9628,,,
gpt-5.4-pro,POST /v1/responses,true,200,1020,1020,3382,3382,a761a964da18cb4beb95172768aa8b5d,,,
gemini-3-pro,POST /v1/chat/completions,false,0,,,,120007,,,network_timeout,
gemini-3-pro,POST /v1/responses,false,200,25762,,25763,25763,9abb44cdca1ef3e75ffbe5db2d27a526,0.002966,,
gemini-3-pro,POST /v1/chat/completions,true,200,1032,1032,6267,6268,a66ee467b65afd60b37726a8683e1634,,,
gemini-3-pro,POST /v1/responses,true,200,2443,2443,7343,7344,69f914ebd2067d68c89bcc23f3904226,,,
gemini-3-pro,POST /v1/chat/completions,false,200,38331,,38331,38331,e6752e6c7148a85661d6dd783d11d4fc,0.002647,,
gemini-3-pro,POST /v1/responses,false,200,10424,,10424,10424,e6e2e09790fbec320253eab28caa00b5,0.002605,,
gemini-3-pro,POST /v1/chat/completions,true,200,1050,1050,6590,6590,ddaacfba71f9e1b7e60d655dcbf0dc77,,,
gemini-3-pro,POST /v1/responses,true,200,1648,1648,6797,6798,4595bdee3a149cd7eea6e800a5a5b8c9,,,
gemini-3-pro,POST /v1/chat/completions,false,200,84119,,84119,84119,c8ba70e94047c7cf94e300b841aea579,0.001983,,
gemini-3-pro,POST /v1/responses,false,200,7620,,7620,7620,cf82e6ade9a4863aed6b56708d0b7164,0.00324,,
gemini-3-pro,POST /v1/chat/completions,true,200,1592,1592,11356,11357,728c3fec1c58c7d6db35436746153efb,,,
gemini-3-pro,POST /v1/responses,true,200,1000,1001,15561,15562,591729170a5b19eb9a406f5b66d24883,,,
gemini-3-pro,POST /v1/chat/completions,false,200,6532,,6533,6533,a64676f02aa21a3a0d5b9ac5e906f9b9,0.002459,,
gemini-3-pro,POST /v1/responses,false,200,8620,,8621,8621,2d0ed77ce0c86fa5ce56b888a335e5a8,0.003168,,
gemini-3-pro,POST /v1/chat/completions,true,200,2147,2147,8003,8003,f5ab2ad157a2e1807c75795d0841d988,,,
gemini-3-pro,POST /v1/responses,true,200,1820,1820,7154,7155,06b4e23d70a117a3b43fae056e46bcd1,,,
gemini-3-pro,POST /v1/chat/completions,false,200,6047,,6048,6048,4228622337c985a5a4bd58938ef163f0,0.002238,,
gemini-3-pro,POST /v1/responses,false,200,7180,,7181,7181,9fa616c57717da908a9de48b53eaabb3,0.00321,,
gemini-3-pro,POST /v1/chat/completions,true,200,1109,1109,6753,6753,60adc2f141dbfbd7f3b05fdbeaac1483,,,
gemini-3-pro,POST /v1/responses,true,200,1794,1794,7787,7788,25316776754658a44a0be869eb2f2f20,,,
gemini-2.5-pro,POST /v1/chat/completions,false,200,6881,,6881,6881,f816efac43fae96acaaf60dd075a064a,0.002728,,
gemini-2.5-pro,POST /v1/responses,false,200,41243,,41243,41243,9b5de721ae56fdd5e2b46799e5cbc529,0.003158,,
